S.No.,College Name,State,Est.Year,Type,Permitted Seats for Academic Year 2025-26,,,Remark
1,"Anil Neerukonda Institute of Dental Sciences, Visakhapatnam",Andhra Pradesh,2013-14,Private,BDS,N/A,100,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,6,
,,,,,MDS,Oral and Maxillofacial Surgery,5,
,,,,,MDS,Conservative Dentistry & Endodontics,6,
,,,,,MDS,Pediatric and Preventive Dentistry,5,
,,,,,MDS,Public Health Dentistry,3,
,,,,,MDS,Oral Medicine & Radiology,2,
,,,,,MDS,Prosthodontics and Crown & Bridge,5,
,,,,,MDS,Periodontology,2,
2,"C.K.S. Teja Institute of Dental Sciences & Research, Tirupati",Andhra Pradesh,1999-00,Private,BDS,N/A,100,
,,,,,MDS,Prosthodontics and Crown & Bridge,6,
,,,,,MDS,Conservative Dentistry & Endodontics,6,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,6,
,,,,,MDS,Periodontology,2,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
,,,,,MDS,Oral Medicine & Radiology,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
3,"Care Dental College, Guntur",Andhra Pradesh,2017-18,Private,BDS,N/A,50,
4,"Drs. Sudha & Nageswara Rao Siddhartha Institute of Dental Sciences, Gannavaram Mandalam",Andhra Pradesh,2005-06,Private,BDS,N/A,100,
,,,,,MDS,Prosthodontics and Crown & Bridge,5,
,,,,,MDS,Oral and Maxillofacial Surgery,5,
,,,,,MDS,Conservative Dentistry & Endodontics,5,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,5,
,,,,,MDS,Periodontology,5,
5,"G. Pulla Reddy Dental College & Hospital, Kurnool",Andhra Pradesh,2006-07,Private,BDS,N/A,50,
,,,,,MDS,Prosthodontics and Crown & Bridge,3,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,MDS,Conservative Dentistry & Endodontics,6,
,,,,,MDS,Periodontology,3,
,,,,,MDS,Oral Medicine & Radiology,2,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
6,"Gitam Dental College & Hospital, Vishakhapatnam",Andhra Pradesh,2001-02,Private,BDS,N/A,100,
,,,,,MDS,Periodontology,5,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,5,
,,,,,MDS,Pediatric and Preventive Dentistry,5,
,,,,,MDS,Oral Medicine & Radiology,3,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
,,,,,MDS,Prosthodontics and Crown & Bridge,5,
,,,,,MDS,Conservative Dentistry & Endodontics,5,
7,"Govt. Dental College & Hospital, Vijayawada",Andhra Pradesh,1992-93,Govt.,MDS,Oral Medicine & Radiology,3,
,,,,,MDS,Prosthodontics and Crown & Bridge,3,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
,,,,,BDS,N/A,40,
,,,,,MDS,Periodontology,3,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
,,,,,MDS,Conservative Dentistry & Endodontics,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
8,"Govt. Dental College, RIMS, Kadapa",Andhra Pradesh,2008-09,Govt.,MDS,Oral Medicine & Radiology,3,
,,,,,MDS,Prosthodontics and Crown & Bridge,2,
,,,,,MDS,Conservative Dentistry & Endodontics,3,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,3,
,,,,,BDS,N/A,100,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
,,,,,MDS,Periodontology,3,
9,"GSL Dental College & Hospital, Rajahmundry",Andhra Pradesh,2013-14,Private,MDS,Periodontology,2,
,,,,,MDS,Oral Medicine & Radiology,2,
,,,,,MDS,Oral & Maxillofacial Pathology and Oral Microbiology,2,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,MDS,Conservative Dentistry & Endodontics,3,
,,,,,MDS,Prosthodontics and Crown & Bridge,3,
,,,,,MDS,Pediatric and Preventive Dentistry,3,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
,,,,,BDS,N/A,100,
10,"KIMS Dental College, Amalapuram",Andhra Pradesh,2014-15,Private,BDS,N/A,100,
,,,,,MDS,Orthodonitics & Dentofacial Orthopedics,3,
,,,,,MDS,Conservative Dentistry & Endodontics,3,
,,,,,MDS,Prosthodontics and Crown & Bridge,2,
,,,,,MDS,Oral and Maxillofacial Surgery,3,
11,"Lenora Institute of Dental Sciences, Rajahmundry",Andhra Pradesh,2008-09,Private,BDS,N/A,100,
