SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
1,M.B.B.S.,Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,2015,114
2,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,5
3,MD/MS - Anatomy,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,2
4,MD - Respiratory Medicine,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,3
5,MS - General Surgery,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,26
6,MD - Paediatrics,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,12
7,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,7
8,MD - Paediatrics,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
9,MD - Bio-Chemistry,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,2
10,MD - Bio-Chemistry,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,3
11,MD - Radio Diagnosis,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
12,MD - Bio-Chemistry,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
13,MS - General Surgery,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,5
14,MS - Orthopaedics,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,3
15,MD - Psychiatry,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Dr. YSR University of Health Sciences,Trust,2010,2
16,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,2
17,M.B.B.S.,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,250
18,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,37
19,MS - Orthopaedics,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,4
20,MD - General Medicine,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,4
21,M.Ch - Neuro Surgery,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,4
22,MD - General Medicine,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,17
23,MD - Psychiatry,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,27
24,MS - Orthopaedics,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,7
25,MS - General Surgery,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,6
26,MD - Psychiatry,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
27,MD - Paediatrics,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,15
28,MD- Anaesthesia,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,21
29,M.B.B.S.,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,250
30,MD - Physiology,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
31,M.B.B.S.,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,240
32,DM - Medical Gastroenterology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,3
33,M.Ch Cardiothoracic Surgery,Andhra Pradesh,"NRI Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2003,1
34,MD/MS - Anatomy,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
35,MD - Respiratory Medicine,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,7
36,DM - Endocrinology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
37,MD - Forensic Medicine/Forensic Medicine & Toxicology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,5
38,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,10
39,MD - Anatomy,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,1
